layer,raw_title,course_key,match_status,catalogue_course_title,stack
delivered,Quantitative Aptitude,quantitative aptitude,exact,Quantitative Aptitude,Aptitude
delivered,Design and Analysis of Algorithms,design and analysis of algorithms,unmapped,,
delivered,Practical Software Engineering,practical software engineering,exact,Practical Software Engineering,GenAI
delivered,Frontend Development Essentials-1,frontend development essentials 1,partial,Frontend Development,FullStack
delivered,Intermediate Language Skills Preparation,intermediate language skills preparation,unmapped,,
delivered,Advanced Frontend Development Assessment,advanced frontend development assessment,partial,Frontend Development,FullStack
delivered,Data Structure,data structure,partial,Data Structures and Algorithms using C++,Programming & Algorithms
delivered,Fundamentals Of Quantum Computing,fundamentals of quantum computing,unmapped,,
delivered,Introduction to GIT,introduction to git,unmapped,,
delivered,Modern Responsive Web Design,modern responsive web design,unmapped,,
delivered,Introduction to React JS,introduction to react js,unmapped,,
delivered,Generative AI,generative ai,partial,Generative AI for Vision: Transformers & Diffusion Models,DS/ML
delivered,Problem Solving Using Python Programming,problem solving using python programming,unmapped,,
delivered,Design & Drafting,design drafting,unmapped,,
delivered,Indian Knowledge Systems,indian knowledge systems,unmapped,,
delivered,Introduction to Tech,introduction to tech,unmapped,,
delivered,ReactJS Vite Mini Projects,reactjs vite mini projects,unmapped,,
delivered,Math For Computer Science,math for computer science,unmapped,,
delivered,Build Your Own Dynamic Web Application,build your own dynamic web application,unmapped,,
delivered,Web Development Programmining,web development programmining,unmapped,,
delivered,ADVANCE APTITUDE,advanced aptitude,exact,Advanced Aptitude,Aptitude
delivered,Typescript,typescript,unmapped,,
delivered,Introduction to Web Technologies,introduction to web technologies,unmapped,,
delivered,Python Programming Assessments,python programming assessments,unmapped,,
delivered,Python Programming,python programming,unmapped,,
delivered,Probability & Statistics,probability statistics,unmapped,,
delivered,AI For Finanace,ai for finanace,unmapped,,
delivered,Communication English Foundation,communication english foundation,unmapped,,
delivered,Mathematics 2,mathematics 2,unmapped,,
delivered,AI For Finance,ai for finance,exact,AI For Finance,GenAI
delivered,Database Management Systems,database management systems,exact,Database Management Systems,CS Core
delivered,Applied Physics for Data Science,applied physics for data science,unmapped,,
delivered,Universal Human Values,universal human values,unmapped,,
delivered,Introduction to JavaScript,introduction to javascript,unmapped,,
delivered,Advanced English,advanced english,unmapped,,
delivered,Probability and Statistics,probability and statistics,exact,Probability and Statistics,DS/ML
delivered,Introduction to Database,introduction to database,unmapped,,
delivered,Programming Foundations,programming foundations,unmapped,,
delivered,Intro to NIAT,intro to niat,unmapped,,
delivered,Database Systems,database systems,unmapped,,
delivered,Front End Full Stack Development,front end full stack development,unmapped,,
delivered,English - Basic,english basic,unmapped,,
delivered,Mathematics for Computer Science_1,mathematics for computer science 1,unmapped,,
delivered,Test Based Learning,test based learning,unmapped,,
delivered,Cambridge English B1,cambridge english b1,unmapped,,
delivered,Mathematics for Data Science,mathematics for data science,unmapped,,
delivered,Quantitaive Aptitude,quantitaive aptitude,unmapped,,
delivered,Logical Mathematics For Software Engineers I,logical mathematics for software engineers i,unmapped,,
delivered,Orientation Session,orientation session,unmapped,,
delivered,Building LLM Applications,building llm applications,exact,Building LLM Applications,GenAI
delivered,Applied Communicative English,applied communicative english,exact,Applied Communicative English,English
delivered,Building LLM Applications 2,building llm applications 2,partial,Building LLM Applications,GenAI
delivered,English Language Proficiency B1,english language proficiency b1,unmapped,,
delivered,Linear algebra and Calculus,linear algebra and calculus,exact,Linear Algebra and Calculus,DS/ML
delivered,Quantitative Skills,quantitative skills,unmapped,,
delivered,Indian Knowledge System,indian knowledge system,unmapped,,
delivered,Production Ready Practices,production ready practices,unmapped,,
delivered,Test Your Current Knowledge,test your current knowledge,unmapped,,
delivered,Mathematics for Computer Science,mathematics for computer science,unmapped,,
delivered,Introduction to Generative AI,introduction to generative ai,unmapped,,
delivered,JS Essentials,js essentials,unmapped,,
delivered,Problem Solving With Python Programming-2,problem solving with python programming 2,unmapped,,
delivered,Advanced Frontend Development,advanced frontend development,partial,Advanced Frontend Development Using React,FullStack
delivered,Quantum Physics,quantum physics,unmapped,,
delivered,Introduction to Computing Systems,introduction to computing systems,unmapped,,
delivered,Frontend Development 1,frontend development 1,partial,Frontend Development,FullStack
delivered,Computer Aided Engineering Graphics,computer aided engineering graphics,unmapped,,
delivered,Numerical Ability,numerical ability,exact,Numerical Ability,Aptitude
delivered,Communicative English Foundation,communicative english foundation,exact,Communicative English Foundation,English
delivered,LLM,llm,unmapped,,
delivered,CALCULUS,calculus,partial,Linear Algebra and Calculus,DS/ML
delivered,Calculus and Differential Equations,calculus and differential equations,unmapped,,
delivered,Engineering Chemistry,engineering chemistry,unmapped,,
delivered,Introduction to Database Management Systems,introduction to database management systems,partial,Database Management Systems,CS Core
delivered,Problem Solving With Python Programming-2 Assessments,problem solving with python programming 2 assessments,unmapped,,
delivered,Web Application Development,web application development,exact,Web Application Development,FullStack
delivered,Physics,physics,unmapped,,
content,Introduction to Databases,introduction to databases,unmapped,,
content,Introduction to React JS,introduction to react js,unmapped,,
content,More NodeJS Concepts,more nodejs concepts,unmapped,,
content,HTML & CSS,html css,unmapped,,
content,JS Essentials,js essentials,unmapped,,
content,Data Structures and Algorithms using C++,data structures and algorithms using c,exact,Data Structures and Algorithms using C++,Programming & Algorithms
content,Computer Programming using Python,computer programming using python,exact,Computer Programming using Python,Programming & Algorithms
content,MongoDB Integration with NodeJS,mongodb integration with nodejs,unmapped,,
content,Build Your Own Dynamic Web Application,build your own dynamic web application,unmapped,,
content,Node JS,node js,unmapped,,
content,Web Application Development,web application development,exact,Web Application Development,FullStack
content,Frontend Development,frontend development,exact,Frontend Development,FullStack
content,Database Management Systems,database management systems,exact,Database Management Systems,CS Core
content,"Backend Development Using Node, MongoDB",backend development using node mongodb,exact,"Backend Development Using Node, MongoDB",FullStack
content,Advanced Frontend Development Using React,advanced frontend development using react,exact,Advanced Frontend Development Using React,FullStack
