semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Database Management System,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Datastructures and AI,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,6.0
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Engineering Mathematics 2,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,3.0
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Advanced Technical English,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Constitution of India,Complaince,,0.0
Semester 2,a2c7e1f6-e27f-49aa-9185-a2a671d0a1f0,S Vyasa,S-VYASA,Application of yoga in mind body management,Complaince,,3.0
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Introduction to DataBase,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Data Structures Using C++,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,4.0
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Skill Enhancement Courses,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,3.0
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Ability  Enhancement Course,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Value Added Course,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,afad4c88-97cc-4af3-bb18-6b5ab2c746d0,VGU,Vivekananda global University,Trans- disciplinary,Complaince,,1.0
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,5.0
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Data Structures,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,5.0
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Logical Mathematics For Software Engineers II,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,2.0
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Communicative English Advanced,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,2.0
Semester 2,065bb7bf-99a6-4151-86e4-96e700ecb9b4,NRI,NRI,Environmental Science,Complaince,,0.0
Semester 2,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,4c3ccc5b-89d9-48c0-b079-61318208353f,NSRIT,NSRIT University,Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
