institute_name,university,semester,subject,course_id,batch,section,num_sections,students,scheduled_mcq_practices,mcq_attendance,mcq_attendance_pct,total_mcq_questions,mcq_attempts,mcq_expected_attempts,mcq_attempt_pct,mcq_correct,mcq_accuracy_pct,scheduled_coding_practices,coding_attendance,coding_attendance_pct,total_coding_problems,coding_attempts,coding_expected_attempts,coding_attempt_pct,coding_completions,coding_completion_pct
A Dy Patil University,A Dy Patil University,Semester 1,Math For Computer Science,70850c6b459c4134a16c3e42d46eb794,ADYPU Batch-1,S-004,4,83,37,82,98.8,549,0,45567,0,0,0,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Modern Responsive Web Design,1d571a66be1e49cda17f5b3b22d6d751,ADYPU Batch-1,S-001,4,83,26,63,75.9,600,378,49800,0.76,313,82.8,24,66,79.52,41,955,3403,28.06,771,80.73
A Dy Patil University,A Dy Patil University,Semester 1,Modern Responsive Web Design,1d571a66be1e49cda17f5b3b22d6d751,ADYPU Batch-1,S-002,4,84,37,64,76.19,820,224,68880,0.33,164,73.21,34,68,80.95,61,1405,5124,27.42,1046,74.45
A Dy Patil University,A Dy Patil University,Semester 1,Modern Responsive Web Design,1d571a66be1e49cda17f5b3b22d6d751,ADYPU Batch-1,S-003,4,85,36,66,77.65,820,88,69700,0.13,76,86.36,35,75,88.24,58,1211,4930,24.56,797,65.81
A Dy Patil University,A Dy Patil University,Semester 1,Modern Responsive Web Design,1d571a66be1e49cda17f5b3b22d6d751,ADYPU Batch-1,S-004,4,83,34,74,89.16,760,0,63080,0,0,0,29,75,90.36,50,1465,4150,35.3,1181,80.61
A Dy Patil University,A Dy Patil University,Semester 1,Programming Foundations,c6008f8dcd914843bb3fb75d4beca046,ADYPU Batch-1,S-001,4,83,75,83,100,1337,44,110971,0.04,41,93.18,100,83,100,974,37241,80842,46.07,35507,95.34
A Dy Patil University,A Dy Patil University,Semester 1,Programming Foundations,c6008f8dcd914843bb3fb75d4beca046,ADYPU Batch-1,S-002,4,84,77,84,100,1388,225,116592,0.19,174,77.33,90,84,100,956,33976,80304,42.31,30944,91.08
A Dy Patil University,A Dy Patil University,Semester 1,Programming Foundations,c6008f8dcd914843bb3fb75d4beca046,ADYPU Batch-1,S-003,4,85,77,85,100,1377,307,117045,0.26,228,74.27,96,85,100,896,34165,76160,44.86,31739,92.9
A Dy Patil University,A Dy Patil University,Semester 1,Programming Foundations,c6008f8dcd914843bb3fb75d4beca046,ADYPU Batch-1,S-004,4,83,59,83,100,973,90,80759,0.11,81,90,84,83,100,849,34330,70467,48.72,32710,95.28
A Dy Patil University,A Dy Patil University,Semester 1,Quantitative Aptitude,97671af2f44f4eed978cd65d5c0c55c9,ADYPU Batch-1,S-001,4,83,48,82,98.8,965,21,80095,0.03,7,33.33,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Quantitative Aptitude,97671af2f44f4eed978cd65d5c0c55c9,ADYPU Batch-1,S-002,4,84,34,84,100,670,3,56280,0.01,3,100,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Quantitative Aptitude,97671af2f44f4eed978cd65d5c0c55c9,ADYPU Batch-1,S-003,4,85,48,85,100,960,845,81600,1.04,805,95.27,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 1,Quantitative Aptitude,97671af2f44f4eed978cd65d5c0c55c9,ADYPU Batch-1,S-004,4,83,40,83,100,810,3015,67230,4.48,2740,90.88,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Building LLM Applications,8874b64282db42748d71b9940316db8d,ADYPU Batch-1,S-001,4,83,12,71,85.54,200,6357,16600,38.3,5631,88.58,14,60,72.29,38,346,3154,10.97,241,69.65
A Dy Patil University,A Dy Patil University,Semester 2,Building LLM Applications,8874b64282db42748d71b9940316db8d,ADYPU Batch-1,S-002,4,84,11,77,91.67,185,7989,15540,51.41,7242,90.65,17,80,95.24,46,906,3864,23.45,729,80.46
A Dy Patil University,A Dy Patil University,Semester 2,Building LLM Applications,8874b64282db42748d71b9940316db8d,ADYPU Batch-1,S-003,4,85,16,68,80,280,7806,23800,32.8,7092,90.85,17,74,87.06,49,1101,4165,26.43,856,77.75
A Dy Patil University,A Dy Patil University,Semester 2,Building LLM Applications,8874b64282db42748d71b9940316db8d,ADYPU Batch-1,S-004,4,83,10,66,79.52,160,5895,13280,44.39,5363,90.98,13,69,83.13,40,737,3320,22.2,584,79.24
A Dy Patil University,A Dy Patil University,Semester 2,Building Rest APIs with Flask,a8f81e0c22c341e6b98ace7552d8e2c7,ADYPU Batch-1,S-001,4,83,4,43,51.81,50,2036,4150,49.06,1921,94.35,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Building Rest APIs with Flask,a8f81e0c22c341e6b98ace7552d8e2c7,ADYPU Batch-1,S-002,4,84,3,58,69.05,35,1717,2940,58.4,1606,93.54,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Building Rest APIs with Flask,a8f81e0c22c341e6b98ace7552d8e2c7,ADYPU Batch-1,S-003,4,85,3,61,71.76,35,1826,2975,61.38,1695,92.83,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Building Rest APIs with Flask,a8f81e0c22c341e6b98ace7552d8e2c7,ADYPU Batch-1,S-004,4,83,4,43,51.81,50,2020,4150,48.67,1894,93.76,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Advanced,bfd0a2efeb934e4bbc1c9acac895d6a4,ADYPU Batch-1,S-001,4,83,1,55,66.27,15,831,1245,66.75,649,78.1,0,0,0,0,0,0,0,0,0
A Dy Patil University,A Dy Patil University,Semester 2,Communicative English Advanced,bfd0a2efeb934e4bbc1c9acac895d6a4,ADYPU Batch-1,S-002,4,84,1,49,58.33,15,749,1260,59.44,587,78.37,0,0,0,0,0,0,0,0,0
